Protein,RNA,Label
P10180,n343014,1
P49963,n389,1
Q8T3P8,n389,1
Q9VSC1,n389,1
Q9VSS2,n389,1
P05084,n392,1
P26017,n392,1
Q9V429,n392,1
Q9VW15,n392,1
P05084,n393,1
P26017,n393,1
Q9V429,n393,1
Q9VW15,n393,1
P02825,n4879,1
P02828,n4879,1
P48810,n4879,1
Q08473,n4879,1
Q7KA80,n4879,1
P05084,n4983,1
P26017,n4983,1
Q9V429,n4983,1
Q9VW15,n4983,1
P05084,n4985,1
P26017,n4985,1
Q9V429,n4985,1
Q9VW15,n4985,1
P05084,n4986,1
P26017,n4986,1
Q9V429,n4986,1
Q9VW15,n4986,1
P05084,n4987,1
P26017,n4987,1
Q9V429,n4987,1
Q9VW15,n4987,1
P18102,n5229,1
P40417,n5229,1
P18102,n5230,1
P40417,n5230,1
P19339,n5295,1
P24785,n5295,1
P50534,n5295,1
Q9VVW5,n5295,1
Q9W0Y8,n5295,1
P19339,n5303,1
P24785,n5303,1
P50534,n5303,1
P50535,n5303,1
Q9VVW5,n5303,1
Q9W0Y8,n5303,1
P49963,n5330,1
Q8T3P8,n5330,1
Q9VSC1,n5330,1
Q9VSS2,n5330,1
P49963,n5333,1
Q8T3P8,n5333,1
Q9VSC1,n5333,1
Q9VSS2,n5333,1
P43332,n5385,1
Q24562,n5385,1
Q94535,n5385,1
Q9V4Q8,n5385,1
O96828,n5563,1
P17133,n5563,1
P43332,n5563,1
Q32KG2,n5563,1
Q7KTD2,n5563,1
Q9V3W7,n5563,1
