Protein,RNA,Label
Q01844,AC005586.2,1
Q01844,AC007639.1,1
Q01844,AC013402.2,1
Q01844,AC016205.1,1
Q01844,AC016251.2,1
Q01844,AC020911.1,1
Q01844,AC025171.1,1
Q01844,AC026462.2,1
Q01844,AC091047.1,1
Q01844,AC097532.1,1
Q01844,AL354696.2,1
Q01844,AL359220.1,1
Q01844,AL671710.1,1
Q01844,AP003486.1,1
Q01844,BCAR4,1
Q96QC0,BCAR4,1
Q8TAD8,BCAR4,1
O95931,CDKN2B-AS1,1
Q15022,CDKN2B-AS1,1
Q01844,GAS5,1
B1AKI9,H19,1
Q00839,H19,1
Q15910,HEIH,1
Q15365,HOTAIR,1
O60341,HOTAIR,1
Q15022,HOTAIR,1
Q15910,HOTAIR,1
P31269,HOTTIP,1
P61964,HOTTIP,1
Q03164,HOTTIP,1
Q01844,MALAT1,1
P23246,MALAT1,1
O15042,MALAT1,1
Q15233,MALAT1,1
P04637,MEG3,1
Q01844,NEAT1,1
P51532,NEAT1,1
P51531,NEAT1,1
P23246,NEAT1,1
Q15233,NEAT1,1
Q8WXF1,NEAT1,1
Q01844,PVT1,1
Q01844,SNHG1,1
Q01844,SNHG10,1
Q01844,SNHG11,1
Q01844,SNHG12,1
Q01844,SNHG5,1
Q03518,MALAT1,1
Q13070,MALAT1,1
P49918,KCNQ1OT1,1
P01344,H19,1
Q9UBU9,XIST,1
Q00839,XIST,1
O14746,TERC,1
P42224,CDKN2B-AS1,1
Q13242,MALAT1,1
Q16629,MALAT1,1
Q13247,MALAT1,1
Q08170,MALAT1,1
P84103,MALAT1,1
Q01130,MALAT1,1
Q05519,MALAT1,1
Q07955,MALAT1,1
Q14790,MALAT1,1
P42574,MALAT1,1
P10415,MALAT1,1
Q07812,MALAT1,1
Q16665,HIF1A-AS2,1
Q96KQ7,AIRN,1
Q9BXM7,PINK1-AS,1
P16220,UCA1,1
P31749,UCA1,1
Q92597,PCA3,1
P07288,PCA3,1
P55075,PCA3,1
P06493,PCA3,1
P38398,XIST,1
P42345,GAS5,1
P23511,PANDAR,1
O76093,H19,1
P03950,H19,1
P01106,MIR17HG,1
Q00987,MEG3,1
Q99988,MEG3,1
Q8TEY5,MEG3,1
O94906,MALAT1,1
P12004,TERC,1
O75530,HOTAIR,1
P28358,HOTAIR,1
P01106,H19,1
Q01094,H19,1
P48431,SOX2-OT,1
P05121,TERC,1
Q9H307,TERC,1
P19838,TERC,1
P01106,TERC,1
Q13330,TERC,1
P05412,TERC,1
Q9UM22,TERC,1
Q01094,TERC,1
P16070,TERC,1
O15392,TERC,1
P10415,TERC,1
Q07812,TERC,1
Q13315,TERC,1
Q9C0J8,A1BG-AS1,1
Q9C0J8,A2M-AS1,1
Q9C0J8,A2ML1-AS1,1
Q9C0J8,ABCA9-AS1,1
P55265,ABCC5-AS1,1
Q9C0J8,ABCC5-AS1,1
Q9C0J8,AC000099.1,1
Q9C0J8,AC000124.1,1
Q9C0J8,AC002401.1,1
Q9C0J8,AC002454.1,1
Q9C0J8,AC002480.2,1
Q9C0J8,AC002511.1,1
Q9C0J8,AC003005.2,1
Q9C0J8,AC003009.1,1
Q9C0J8,AC003092.1,1
Q9C0J8,AC003092.2,1
Q93062,AC003682.1,1
Q14103,AC003682.1,1
Q9C0J8,AC003958.2,1
Q9C0J8,AC003984.1,1
Q9C0J8,AC003988.1,1
Q9C0J8,AC004009.3,1
Q9C0J8,AC004053.1,1
P38432,AC004053.1,1
Q9C0J8,AC004054.1,1
Q9C0J8,AC004063.1,1
Q14103,AC004148.1,1
Q9C0J8,AC004448.2,1
Q9C0J8,AC004832.1,1
Q9C0J8,AC004837.3,1
Q9C0J8,AC004870.3,1
Q9C0J8,AC004870.4,1
Q9C0J8,AC004947.2,1
Q9C0J8,AC004988.1,1
Q9C0J8,AC005009.2,1
Q9C0J8,AC005034.3,1
Q9C0J8,AC005042.2,1
Q9C0J8,AC005150.1,1
Q9C0J8,AC005224.2,1
Q8TB72,AC005224.2,1
Q9C0J8,AC005281.1,1
Q9C0J8,AC005304.1,1
Q9C0J8,AC005307.1,1
Q9C0J8,AC005355.1,1
Q93062,AC005394.1,1
Q9C0J8,AC005498.3,1
Q9C0J8,AC005592.1,1
Q9C0J8,AC005616.1,1
Q9C0J8,AC005618.1,1
Q9C0J8,AC005625.1,1
Q9C0J8,AC005703.2,1
Q9C0J8,AC005779.1,1
Q9C0J8,AC005831.1,1
Q9C0J8,AC005863.1,1
P55265,AC005884.1,1
Q9C0J8,AC005884.1,1
Q9C0J8,AC006007.1,1
Q9C0J8,AC006076.1,1
Q9C0J8,AC006115.3,1
Q9C0J8,AC006296.1,1
Q9C0J8,AC006369.2,1
Q9C0J8,AC006372.4,1
Q9C0J8,AC006378.2,1
Q9C0J8,AC006460.2,1
Q93062,AC006504.1,1
Q93062,AC006504.2,1
Q9C0J8,AC006538.1,1
Q9C0J8,AC006947.1,1
Q9C0J8,AC006994.2,1
Q9C0J8,AC007003.1,1
Q9C0J8,AC007091.1,1
Q9C0J8,AC007092.1,1
Q9C0J8,AC007098.1,1
Q9C0J8,AC007099.2,1
Q9C0J8,AC007106.1,1
Q9UKA9,AC007126.1,1
Q9C0J8,AC007128.1,1
Q9C0J8,AC007292.1,1
Q9C0J8,AC007292.3,1
Q9C0J8,AC007317.1,1
Q9C0J8,AC007319.1,1
Q96PU8,AC007319.1,1
Q9C0J8,AC007347.1,1
P55265,AC007362.1,1
Q9C0J8,AC007362.1,1
Q9C0J8,AC007364.1,1
Q9C0J8,AC007365.1,1
Q9C0J8,AC007383.3,1
Q9C0J8,AC007389.1,1
Q9C0J8,AC007389.3,1
Q9C0J8,AC007391.2,1
Q9C0J8,AC007403.1,1
Q9C0J8,AC007422.1,1
Q9C0J8,AC007620.3,1
Q9C0J8,AC007652.1,1
Q9C0J8,AC007743.1,1
Q9C0J8,AC007795.1,1
Q9C0J8,AC007879.1,1
Q9C0J8,AC007879.2,1
Q9C0J8,AC007948.1,1
Q9C0J8,AC007950.1,1
Q9C0J8,AC007966.1,1
Q9C0J8,AC008268.1,1
Q9C0J8,AC008269.2,1
Q9C0J8,AC008277.1,1
Q9C0J8,AC008278.2,1
Q9C0J8,AC008280.3,1
Q9C0J8,AC008592.4,1
Q9C0J8,AC008592.5,1
Q9C0J8,AC008691.1,1
Q9C0J8,AC008703.1,1
Q9C0J8,AC008937.2,1
Q9C0J8,AC008937.3,1
Q9C0J8,AC008982.2,1
Q9C0J8,AC008992.1,1
Q9C0J8,AC009110.1,1
Q14103,AC009113.1,1
Q9C0J8,AC009120.3,1
Q6ZN17,AC009120.4,1
Q9C0J8,AC009120.4,1
Q9C0J8,AC009120.6,1
Q9C0J8,AC009134.1,1
Q9C0J8,AC009158.1,1
Q9C0J8,AC009228.1,1
P14866,AC009234.1,1
P55265,AC009264.1,1
Q9C0J8,AC009264.1,1
Q9C0J8,AC009299.3,1
Q96PU8,AC009299.3,1
P14866,AC009303.3,1
Q9C0J8,AC009303.3,1
Q9C0J8,AC009312.1,1
Q9C0J8,AC009313.1,1
Q9C0J8,AC009403.2,1
Q9C0J8,AC009411.2,1
Q9C0J8,AC009478.1,1
Q9C0J8,AC009495.2,1
Q9C0J8,AC009495.3,1
Q9C0J8,AC009498.1,1
Q9C0J8,AC009506.1,1
Q93062,AC009948.3,1
Q9C0J8,AC009948.5,1
Q93062,AC009948.5,1
Q9C0J8,AC009965.1,1
Q9C0J8,AC009970.1,1
Q9C0J8,AC010096.1,1
Q9C0J8,AC010105.1,1
Q9C0J8,AC010148.1,1
Q9C0J8,AC010335.1,1
P38432,AC010609.1,1
Q9C0J8,AC010642.2,1
P14866,AC010729.1,1
Q9C0J8,AC010729.1,1
Q9C0J8,AC010731.3,1
Q9C0J8,AC010745.2,1
Q9C0J8,AC010761.6,1
Q9C0J8,AC010880.1,1
Q9C0J8,AC010884.1,1
Q9C0J8,AC010890.1,1
Q9C0J8,AC010894.3,1
Q9C0J8,AC010894.5,1
Q9C0J8,AC010967.2,1
Q9C0J8,AC010969.1,1
Q9C0J8,AC010976.2,1
Q9C0J8,AC010980.2,1
Q9C0J8,AC010982.1,1
Q9C0J8,AC010983.1,1
Q9C0J8,AC011243.1,1
Q9C0J8,AC011306.1,1
Q14103,AC011450.1,1
Q14103,AC011497.1,1
Q9C0J8,AC011498.1,1
Q9C0J8,AC011518.1,1
Q9C0J8,AC011524.1,1
Q9C0J8,AC011525.2,1
Q9C0J8,AC011752.1,1
Q9C0J8,AC011754.1,1
Q9C0J8,AC011995.1,1
Q9C0J8,AC012317.1,1
Q9C0J8,AC012322.1,1
Q9C0J8,AC012368.1,1
P14866,AC012370.2,1
P55265,AC012370.2,1
Q9C0J8,AC012370.2,1
Q9C0J8,AC012445.1,1
Q9C0J8,AC012462.3,1
Q9C0J8,AC012494.1,1
Q9C0J8,AC012499.1,1
Q9C0J8,AC012506.2,1
Q9C0J8,AC012506.3,1
Q9C0J8,AC012506.4,1
Q9C0J8,AC012593.1,1
P38432,AC012593.1,1
Q9C0J8,AC012594.1,1
Q9C0J8,AC012668.1,1
Q9C0J8,AC012668.2,1
Q96PU8,AC013268.5,1
P55265,AC013402.2,1
Q9C0J8,AC013402.2,1
Q9C0J8,AC013402.3,1
Q9C0J8,AC013472.3,1
Q9C0J8,AC013727.1,1
Q9C0J8,AC015849.2,1
Q9C0J8,AC015987.1,1
Q93062,AC016205.1,1
Q9C0J8,AC016644.1,1
Q9C0J8,AC016700.3,1
Q9C0J8,AC016710.1,1
P55265,AC016722.2,1
Q9C0J8,AC016722.2,1
Q9C0J8,AC016730.1,1
Q9C0J8,AC016735.1,1
Q9C0J8,AC016747.3,1
Q96PU8,AC016747.3,1
Q93062,AC016757.1,1
P14866,AC016773.1,1
Q9C0J8,AC016773.1,1
Q9C0J8,AC016903.2,1
Q9C0J8,AC016910.1,1
Q9C0J8,AC017002.1,1
Q9C0J8,AC017002.2,1
Q9C0J8,AC017048.2,1
P55265,AC017048.3,1
Q9C0J8,AC017048.3,1
Q9C0J8,AC017053.1,1
Q9C0J8,AC017074.2,1
Q9C0J8,AC018359.1,1
Q9C0J8,AC018730.1,1
Q9C0J8,AC018742.1,1
Q9C0J8,AC018832.1,1
Q9C0J8,AC018866.1,1
Q9C0J8,AC019055.1,1
Q9C0J8,AC019117.1,1
Q9C0J8,AC019118.2,1
Q9C0J8,AC019186.1,1
Q9C0J8,AC019330.1,1
P14866,AC020663.1,1
Q9C0J8,AC020663.1,1
Q9C0J8,AC020907.2,1
Q93062,AC020911.1,1
Q93062,AC020928.2,1
Q9C0J8,AC022182.1,1
Q9C0J8,AC022400.1,1
P38432,AC022872.1,1
Q93062,AC022916.1,1
Q9C0J8,AC023115.1,1
Q9C0J8,AC023128.1,1
Q9C0J8,AC023347.1,1
Q9C0J8,AC023469.2,1
Q9C0J8,AC023481.1,1
Q9C0J8,AC023590.1,1
Q9C0J8,AC023669.1,1
Q9C0J8,AC024084.1,1
Q9C0J8,AC024560.3,1
Q9C0J8,AC025171.1,1
Q9UKA9,AC025171.1,1
Q9C0J8,AC026167.1,1
Q9C0J8,AC026202.3,1
Q9C0J8,AC026471.6,1
Q9C0J8,AC026904.1,1
Q9C0J8,AC034243.1,1
Q9C0J8,AC040173.1,1
Q14103,AC040934.1,1
Q9C0J8,AC053503.4,1
P55265,AC058791.1,1
Q9C0J8,AC058791.1,1
Q9C0J8,AC062021.1,1
Q9C0J8,AC062029.1,1
Q9C0J8,AC062031.1,1
