Protein,RNA,Label
15229321,AthlncRNA10,1
15229884,AthlncRNA10,1
22328551,AthlncRNA10,1
22328551,AthlncRNA113,1
30680456,AthlncRNA172,1
22328551,AthlncRNA172,1
18398061,AthlncRNA172,1
15229321,AthlncRNA172,1
15229884,AthlncRNA172,1
15240641,AthlncRNA172,1
15228098,AthlncRNA218,1
79320777,AthlncRNA218,1
22328551,AthlncRNA218,1
18423684,AthlncRNA218,1
15241028,AthlncRNA218,1
15229884,AthlncRNA218,1
15229321,AthlncRNA218,1
15224217,AthlncRNA218,1
15218779,AthlncRNA218,1
15229884,AthlncRNA227,1
30680456,AthlncRNA227,1
22328551,AthlncRNA227,1
15241028,AthlncRNA227,1
22328624,AthlncRNA227,1
18398061,AthlncRNA227,1
79320777,AthlncRNA227,1
42572443,AthlncRNA227,1
42571149,AthlncRNA227,1
30694529,AthlncRNA227,1
18400210,AthlncRNA227,1
18410591,AthlncRNA227,1
18423684,AthlncRNA227,1
30694526,AthlncRNA227,1
22329999,AthlncRNA227,1
22330665,AthlncRNA227,1
30678085,AthlncRNA227,1
30682553,AthlncRNA227,1
15232459,AthlncRNA227,1
15224217,AthlncRNA227,1
15221761,AthlncRNA227,1
15223768,AthlncRNA227,1
15233167,AthlncRNA227,1
15224366,AthlncRNA227,1
15234010,AthlncRNA227,1
15240641,AthlncRNA227,1
15226605,AthlncRNA227,1
15227722,AthlncRNA227,1
15228098,AthlncRNA227,1
15229321,AthlncRNA227,1
15229743,AthlncRNA227,1
15218779,AthlncRNA227,1
22328551,AthlncRNA269,1
22328551,AthlncRNA270,1
22328551,AthlncRNA314,1
30680456,AthlncRNA314,1
18398061,AthlncRNA314,1
18423684,AthlncRNA314,1
15229884,AthlncRNA314,1
15229321,AthlncRNA314,1
22329999,AthlncRNA32,1
79326195,AthlncRNA32,1
79320777,AthlncRNA32,1
22330665,AthlncRNA32,1
30694529,AthlncRNA32,1
30694526,AthlncRNA32,1
30682553,AthlncRNA32,1
30678085,AthlncRNA32,1
