Protein,RNA,Label
22328551,AthlncRNA109,1
22328551,AthlncRNA110,1
22328624,AthlncRNA110,1
22329999,AthlncRNA110,1
30678085,AthlncRNA110,1
30680456,AthlncRNA110,1
30694526,AthlncRNA110,1
79320777,AthlncRNA110,1
79326195,AthlncRNA110,1
18423684,AthlncRNA110,1
15237716,AthlncRNA110,1
15218779,AthlncRNA110,1
15221761,AthlncRNA110,1
15223768,AthlncRNA110,1
15224217,AthlncRNA110,1
15224366,AthlncRNA110,1
15226605,AthlncRNA110,1
15227722,AthlncRNA110,1
15228098,AthlncRNA110,1
15229884,AthlncRNA110,1
15234010,AthlncRNA110,1
15241028,AthlncRNA110,1
18398061,AthlncRNA110,1
18400210,AthlncRNA110,1
18410591,AthlncRNA110,1
30694529,AthlncRNA110,1
42572443,AthlncRNA12,1
15232459,AthlncRNA12,1
15218972,AthlncRNA12,1
30694529,AthlncRNA125,1
30694526,AthlncRNA125,1
30680456,AthlncRNA125,1
22329999,AthlncRNA125,1
18398061,AthlncRNA125,1
79326195,AthlncRNA125,1
18410591,AthlncRNA125,1
22329999,AthlncRNA126,1
18423684,AthlncRNA128,1
22328551,AthlncRNA128,1
15229743,AthlncRNA129,1
18400210,AthlncRNA129,1
18410591,AthlncRNA129,1
22328624,AthlncRNA129,1
22329999,AthlncRNA129,1
22330665,AthlncRNA129,1
30678085,AthlncRNA129,1
30680456,AthlncRNA129,1
30694526,AthlncRNA129,1
30694529,AthlncRNA129,1
42572443,AthlncRNA129,1
79320777,AthlncRNA129,1
18398061,AthlncRNA129,1
15241028,AthlncRNA129,1
15229321,AthlncRNA129,1
15228098,AthlncRNA129,1
15227722,AthlncRNA129,1
15226605,AthlncRNA129,1
15224366,AthlncRNA129,1
15224217,AthlncRNA129,1
15229884,AthlncRNA129,1
15223768,AthlncRNA129,1
15221761,AthlncRNA129,1
15232459,AthlncRNA129,1
15234010,AthlncRNA129,1
15240641,AthlncRNA129,1
22328551,AthlncRNA129,1
15218779,AthlncRNA129,1
15226605,AthlncRNA138,1
15224366,AthlncRNA138,1
15223768,AthlncRNA138,1
15227722,AthlncRNA138,1
15218972,AthlncRNA138,1
15229321,AthlncRNA138,1
15232459,AthlncRNA138,1
22330665,AthlncRNA138,1
30678085,AthlncRNA138,1
30682553,AthlncRNA138,1
42571149,AthlncRNA138,1
42572443,AthlncRNA138,1
79320777,AthlncRNA138,1
15218779,AthlncRNA138,1
15233167,AthlncRNA138,1
15228098,AthlncRNA138,1
15224217,AthlncRNA138,1
22328551,AthlncRNA14,1
22328551,AthlncRNA141,1
30680456,AthlncRNA148,1
30682553,AthlncRNA148,1
15224217,AthlncRNA148,1
30694526,AthlncRNA148,1
30694529,AthlncRNA148,1
42571149,AthlncRNA148,1
79320777,AthlncRNA148,1
79326195,AthlncRNA148,1
30678085,AthlncRNA148,1
42572443,AthlncRNA148,1
22330665,AthlncRNA148,1
22328624,AthlncRNA148,1
15218779,AthlncRNA148,1
15221761,AthlncRNA148,1
15232459,AthlncRNA148,1
15229884,AthlncRNA148,1
15229743,AthlncRNA148,1
15229321,AthlncRNA148,1
15228098,AthlncRNA148,1
15227722,AthlncRNA148,1
15226605,AthlncRNA148,1
15224366,AthlncRNA148,1
15223768,AthlncRNA148,1
15218972,AthlncRNA148,1
15233167,AthlncRNA148,1
22328551,AthlncRNA148,1
15234010,AthlncRNA148,1
18398061,AthlncRNA148,1
15241028,AthlncRNA148,1
15240641,AthlncRNA148,1
15237716,AthlncRNA148,1
18410591,AthlncRNA148,1
18423684,AthlncRNA148,1
18400210,AthlncRNA148,1
79320777,AthlncRNA155,1
15218779,AthlncRNA155,1
22328551,AthlncRNA155,1
15218779,AthlncRNA159,1
15227722,AthlncRNA159,1
30678085,AthlncRNA159,1
79320777,AthlncRNA159,1
15223768,AthlncRNA159,1
15224217,AthlncRNA159,1
79320777,AthlncRNA167,1
22328551,AthlncRNA167,1
15229884,AthlncRNA167,1
15226605,AthlncRNA167,1
15224217,AthlncRNA167,1
15223768,AthlncRNA167,1
15218779,AthlncRNA167,1
79326195,AthlncRNA192,1
79320777,AthlncRNA192,1
15224366,AthlncRNA192,1
30694529,AthlncRNA192,1
30694526,AthlncRNA192,1
30680456,AthlncRNA192,1
30678085,AthlncRNA192,1
22329999,AthlncRNA192,1
15229884,AthlncRNA192,1
15241028,AthlncRNA192,1
18398061,AthlncRNA192,1
18410591,AthlncRNA192,1
18423684,AthlncRNA192,1
22328551,AthlncRNA192,1
15229321,AthlncRNA192,1
15218779,AthlncRNA192,1
15223768,AthlncRNA192,1
15224217,AthlncRNA192,1
15227722,AthlncRNA192,1
15226605,AthlncRNA192,1
15232459,AthlncRNA194,1
15228098,AthlncRNA194,1
15227722,AthlncRNA194,1
15226605,AthlncRNA194,1
15224366,AthlncRNA194,1
15224217,AthlncRNA194,1
15223768,AthlncRNA194,1
15218779,AthlncRNA194,1
15218972,AthlncRNA194,1
15234010,AthlncRNA194,1
30694529,AthlncRNA194,1
79320777,AthlncRNA194,1
42572443,AthlncRNA194,1
30694526,AthlncRNA194,1
30678085,AthlncRNA194,1
18423684,AthlncRNA194,1
18410591,AthlncRNA194,1
15241028,AthlncRNA194,1
15237716,AthlncRNA194,1
22328551,AthlncRNA199,1
22328551,AthlncRNA2,1
22328551,AthlncRNA204,1
18423684,AthlncRNA204,1
15221761,AthlncRNA204,1
18400210,AthlncRNA204,1
30678085,AthlncRNA207,1
15224217,AthlncRNA207,1
15241028,AthlncRNA207,1
15229884,AthlncRNA207,1
22328551,AthlncRNA207,1
22329999,AthlncRNA207,1
15224366,AthlncRNA207,1
15227722,AthlncRNA207,1
15226605,AthlncRNA207,1
79320777,AthlncRNA207,1
15223768,AthlncRNA207,1
15218779,AthlncRNA207,1
22330665,AthlncRNA207,1
30682553,AthlncRNA21,1
42571149,AthlncRNA21,1
15228098,AthlncRNA21,1
15240641,AthlncRNA21,1
15233167,AthlncRNA21,1
15224366,AthlncRNA210,1
15224217,AthlncRNA210,1
15223768,AthlncRNA210,1
15218779,AthlncRNA210,1
15226605,AthlncRNA210,1
15229884,AthlncRNA210,1
15241028,AthlncRNA210,1
18423684,AthlncRNA210,1
22328551,AthlncRNA210,1
79320777,AthlncRNA210,1
22328551,AthlncRNA211,1
18410591,AthlncRNA211,1
30694526,AthlncRNA211,1
22329999,AthlncRNA211,1
30694529,AthlncRNA211,1
18423684,AthlncRNA211,1
15227722,AthlncRNA213,1
15223768,AthlncRNA213,1
30678085,AthlncRNA213,1
15241028,AthlncRNA215,1
15227722,AthlncRNA215,1
15226605,AthlncRNA215,1
15224366,AthlncRNA215,1
15229321,AthlncRNA215,1
15223768,AthlncRNA215,1
15229884,AthlncRNA215,1
22328551,AthlncRNA215,1
30678085,AthlncRNA215,1
79320777,AthlncRNA215,1
15218779,AthlncRNA215,1
15224217,AthlncRNA215,1
42571149,AthlncRNA22,1
15240641,AthlncRNA22,1
15229743,AthlncRNA22,1
15228098,AthlncRNA22,1
15218779,AthlncRNA222,1
15218972,AthlncRNA222,1
22328624,AthlncRNA222,1
79320777,AthlncRNA222,1
18423684,AthlncRNA229,1
15229321,AthlncRNA229,1
15241028,AthlncRNA229,1
79320777,AthlncRNA229,1
15224217,AthlncRNA229,1
15224366,AthlncRNA229,1
15226605,AthlncRNA229,1
15223768,AthlncRNA229,1
15227722,AthlncRNA229,1
15228098,AthlncRNA229,1
15218779,AthlncRNA229,1
15234010,AthlncRNA229,1
18398061,AthlncRNA229,1
22328551,AthlncRNA229,1
30678085,AthlncRNA229,1
30680456,AthlncRNA229,1
22329999,AthlncRNA238,1
30694529,AthlncRNA238,1
30694526,AthlncRNA238,1
30680456,AthlncRNA238,1
15229884,AthlncRNA238,1
22328551,AthlncRNA238,1
18410591,AthlncRNA238,1
18398061,AthlncRNA238,1
15240641,AthlncRNA238,1
30680456,AthlncRNA241,1
15229884,AthlncRNA241,1
18423684,AthlncRNA241,1
18410591,AthlncRNA241,1
18398061,AthlncRNA241,1
15241028,AthlncRNA241,1
22329999,AthlncRNA241,1
15229321,AthlncRNA241,1
15227722,AthlncRNA241,1
15226605,AthlncRNA241,1
15224366,AthlncRNA241,1
15223768,AthlncRNA241,1
79320777,AthlncRNA241,1
15224217,AthlncRNA241,1
30694529,AthlncRNA241,1
30694526,AthlncRNA241,1
